loss,grad_norm,learning_rate,epoch,step,eval_loss,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
2.062342643737793,0.6604222655296326,2.8636363636363637e-05,0.041429311237700675,10,,,,,,,,,
1.734255599975586,0.6101853251457214,6.045454545454545e-05,0.08285862247540135,20,,,,,,,,,
1.2113176345825196,0.7995300889015198,6.998292529374638e-05,0.12428793371310203,30,,,,,,,,,
0.76161208152771,0.6585193276405334,6.989933418248349e-05,0.1657172449508027,40,,,,,,,,,
0.5685176849365234,0.5632694959640503,6.974625672164353e-05,0.20714655618850336,50,,,,,,,,,
0.524959135055542,0.5019031167030334,6.95239976962376e-05,0.24857586742620405,60,,,,,,,,,
0.43789258003234866,0.6110503673553467,6.923299963529092e-05,0.29000517866390474,70,,,,,,,,,
0.4564380168914795,0.5982181429862976,6.887384193074497e-05,0.3314344899016054,80,,,,,,,,,
0.39972198009490967,0.4929606020450592,6.844723968385876e-05,0.37286380113930606,90,,,,,,,,,
0.3919126272201538,0.4768838584423065,6.795404228140572e-05,0.4142931123770067,100,,,,,,,,,
,,,0.4142931123770067,100,0.3655419945716858,138.6996,1.154,1.154,,,,,
0.3876011371612549,0.5162855386734009,6.739523170450156e-05,0.4557224236147074,110,,,,,,,,,
0.3836066484451294,0.528360903263092,6.677192057342985e-05,0.4971517348524081,120,,,,,,,,,
0.38603763580322265,0.48864296078681946,6.608534993235841e-05,0.5385810460901087,130,,,,,,,,,
0.3601913690567017,0.5531837344169617,6.533688677835734e-05,0.5800103573278095,140,,,,,,,,,
0.33729469776153564,0.5089486241340637,6.452802133963822e-05,0.6214396685655101,150,,,,,,,,,
0.34129021167755125,0.5228313207626343,6.366036410843398e-05,0.6628689798032108,160,,,,,,,,,
0.35217695236206054,0.5879393219947815,6.273564263442694e-05,0.7042982910409115,170,,,,,,,,,
0.34553256034851076,0.6845871806144714,6.175569808510956e-05,0.7457276022786121,180,,,,,,,,,
0.3380504369735718,0.6147050857543945,6.072248157992624e-05,0.7871569135163128,190,,,,,,,,,
0.3429635763168335,0.45575767755508423,5.963805030549525e-05,0.8285862247540134,200,,,,,,,,,
,,,0.8285862247540134,200,0.305594801902771,137.6308,1.163,1.163,,,,,
0.3149871349334717,0.5644296407699585,5.850456341964564e-05,0.8700155359917141,210,,,,,,,,,
0.3195945262908936,0.7148443460464478,5.7324277752424036e-05,0.9114448472294148,220,,,,,,,,,
0.3386880874633789,0.5215235352516174,5.609954331263132e-05,0.9528741584671155,230,,,,,,,,,
0.339493989944458,0.5958462953567505,5.483279860883553e-05,0.9943034697048162,240,,,,,,,,,
0.3184231996536255,0.6456979513168335,5.352656579417724e-05,1.0331434489901605,250,,,,,,,,,
0.2952742576599121,0.594997227191925,5.21834456446344e-05,1.0745727602278612,260,,,,,,,,,
0.30423388481140134,0.6016863584518433,5.080611238074508e-05,1.1160020714655619,270,,,,,,,,,
0.30092792510986327,0.5436445474624634,4.93973083430983e-05,1.1574313827032625,280,,,,,,,,,
0.29369566440582273,0.530593752861023,4.7959838532194465e-05,1.1988606939409632,290,,,,,,,,,
0.3014625310897827,0.6553490161895752,4.649656502354666e-05,1.2402900051786638,300,,,,,,,,,
,,,1.2402900051786638,300,0.2887190878391266,138.1609,1.158,1.158,,,,,
0.3095803499221802,0.5948123335838318,4.5010401269142755e-05,1.2817193164163645,310,,,,,,,,,
0.3172170400619507,0.6853695511817932,4.350430629661424e-05,1.3231486276540654,320,,,,,,,,,
0.30471105575561525,0.5721620917320251,4.198127881766176e-05,1.3645779388917658,330,,,,,,,,,
0.28609166145324705,0.5589311718940735,4.044435125746754e-05,1.4060072501294667,340,,,,,,,,,
0.280535888671875,0.5649823546409607,3.889658371698263e-05,1.4474365613671671,350,,,,,,,,,
0.3096381902694702,0.6011226177215576,3.73410578801102e-05,1.488865872604868,360,,,,,,,,,
0.29452250003814695,0.6210026144981384,3.578087087791619e-05,1.5302951838425685,370,,,,,,,,,
0.29687201976776123,0.6010878086090088,3.4219129122083806e-05,1.5717244950802693,380,,,,,,,,,
0.29447550773620607,0.5661970376968384,3.26589421198898e-05,1.61315380631797,390,,,,,,,,,
0.27639131546020507,0.5979827046394348,3.110341628301737e-05,1.6545831175556707,400,,,,,,,,,
,,,1.6545831175556707,400,0.2775140404701233,138.0745,1.159,1.159,,,,,
0.2950451850891113,0.5650517344474792,2.9555648742532453e-05,1.6960124287933713,410,,,,,,,,,
0.26071677207946775,0.6524141430854797,2.8018721182338242e-05,1.737441740031072,420,,,,,,,,,
0.3017226457595825,0.5888015627861023,2.6495693703385763e-05,1.7788710512687727,430,,,,,,,,,
0.2733995676040649,0.5881659984588623,2.498959873085726e-05,1.8203003625064733,440,,,,,,,,,
0.28318760395050047,0.6050917506217957,2.3503434976453333e-05,1.861729673744174,450,,,,,,,,,
0.26952781677246096,0.6132792830467224,2.204016146780554e-05,1.9031589849818746,460,,,,,,,,,
0.2619274854660034,0.653614342212677,2.0602691656901705e-05,1.9445882962195753,470,,,,,,,,,
0.2772926092147827,0.6216648817062378,1.9193887619254916e-05,1.986017607457276,480,,,,,,,,,
0.26630077362060545,0.5456063747406006,1.78165543553656e-05,2.0248575867426206,490,,,,,,,,,
0.2583462715148926,0.5109928846359253,1.6473434205822762e-05,2.066286897980321,500,,,,,,,,,
,,,2.066286897980321,500,0.2716408669948578,138.6245,1.154,1.154,,,,,
0.2689253807067871,0.6117612719535828,1.5167201391164474e-05,2.107716209218022,510,,,,,,,,,
0.24941134452819824,0.6530515551567078,1.3900456687368671e-05,2.1491455204557224,520,,,,,,,,,
0.2838783025741577,0.6052581667900085,1.267572224757596e-05,2.1905748316934233,530,,,,,,,,,
0.27678608894348145,0.5761810541152954,1.1495436580354353e-05,2.2320041429311237,540,,,,,,,,,
0.26249942779541013,0.6335408687591553,1.036194969450474e-05,2.2734334541688246,550,,,,,,,,,
0.26321730613708494,0.5697885155677795,9.277518420073755e-06,2.314862765406525,560,,,,,,,,,
0.26644556522369384,0.6150556802749634,8.244301914890428e-06,2.356292076644226,570,,,,,,,,,
0.260603666305542,0.5666832327842712,7.264357365573054e-06,2.3977213878819263,580,,,,,,,,,
0.2458512306213379,0.6782982349395752,6.339635891566023e-06,2.4391506991196272,590,,,,,,,,,
0.23948450088500978,0.6434738636016846,5.47197866036178e-06,2.4805800103573277,600,,,,,,,,,
,,,2.4805800103573277,600,0.26734834909439087,137.7332,1.162,1.162,,,,,
0.28040356636047364,0.6364916563034058,4.663113221642647e-06,2.5220093215950286,610,,,,,,,,,
0.2468477964401245,0.6058153510093689,3.914650067641576e-06,2.563438632832729,620,,,,,,,,,
0.27072806358337403,0.6487095952033997,3.2280794265701486e-06,2.60486794407043,630,,,,,,,,,
0.27886648178100587,0.5880848169326782,2.6047682954984284e-06,2.6462972553081308,640,,,,,,,,,
0.2522722244262695,0.6380723714828491,2.0459577185942755e-06,2.687726566545831,650,,,,,,,,,
0.2746897220611572,0.6387176513671875,1.5527603161412404e-06,2.7291558777835316,660,,,,,,,,,
0.29441521167755125,0.6717718243598938,1.1261580692550166e-06,2.7705851890212325,670,,,,,,,,,
0.24977200031280516,0.6619867086410522,7.670003647090744e-07,2.8120145002589334,680,,,,,,,,,
0.2599978446960449,0.6249416470527649,4.760023037623883e-07,2.853443811496634,690,,,,,,,,,
0.2528792381286621,0.610009491443634,2.5374327835646527e-07,2.8948731227343343,700,,,,,,,,,
,,,2.8948731227343343,700,0.2659533619880676,138.1723,1.158,1.158,,,,,
0.2646904945373535,0.6097907423973083,1.0066581751650871e-07,2.936302433972035,710,,,,,,,,,
0.2680642127990723,0.7076895236968994,1.70747062536164e-08,2.977731745209736,720,,,,,,,,,
,,,3.0,726,,,,,17860.3143,0.324,0.041,8.896673054376346e+16,0.3706998803727226
